Temperature(K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class
0.470849425921547,0.11353471063278264,0.0131,11.34,2,Blue ,B
0.08830561467118575,0.38577194183280367,0.91,5.49,3,yellow-white,F
0.06796983789180527,0.3273080797726813,0.865,6.506,3,yellowish,K
0.05617298547069179,0.3018471105189866,0.795,6.228,3,yellowish,K
0.07989805837996902,0.3640102134892268,1.13,4.78,3,Yellowish,K
0.18630619269068077,0.5735192389801689,2.63,1.45,3,Blue-white,A
0.24463361446099682,0.690630046252221,6.98,-2.3,3,Blue-white,A
0.08336617535009591,0.38861339859292826,0.876,4.68,3,Orange-Red,K
0.15188775912351227,0.4982664076605091,1.34,2.44,3,yellow-white,F
0.26691363863272116,0.6917122239589778,7.01,0.02,3,Blue-white,A
0.8977430966080765,0.9369184876997483,10.2,-4.4,3,Blue,O
0.8239667901526497,0.9452514001940928,12.0,-6.5,4,Blue,B
1.0000000000000002,0.9981017479385972,14.0,-6.23,4,Blue,O
0.5533485720291111,0.9176824170613362,36.0,-5.76,4,Blue,O
0.3988597251780037,0.9443394363196473,83.0,-6.89,4,Blue,O
0.24058747799584881,0.912238020356007,12.0,-5.91,4,Blue,O
0.3233230866241034,0.9435957839942661,42.0,-6.12,4,Blue,O
0.5961745618874964,0.9631742807957644,63.0,-5.83,4,Blue,O
0.28780116129371275,0.9337420201123519,36.0,-6.34,4,Blue,O
0.5886865820656315,0.9225182904189262,57.0,-6.24,4,Blue,O
0.827145897375266,0.9618413545795326,67.0,-5.79,4,Blue,O
0.03993589238327947,0.9073289975005059,1289.0,-10.7,5,Red,M
0.04377183994114712,0.9173399908982502,1124.0,-10.81,5,Red,M
0.04403457607524764,0.9373538349225334,1635.0,-11.33,5,Red,M
0.03835947557867634,0.9141298792827139,1486.0,-10.92,5,Red,M
0.04390320800819738,0.9193550837176128,1522.0,-10.86,5,Red,M
0.04240561204382439,0.9234238986798247,1324.0,-11.03,5,Red,M
0.05454402143926854,0.9522370015912067,1534.0,-11.39,5,Red,K
0.04429731220934816,0.8942861233298594,876.0,-10.25,5,Red,M
0.12902971545676678,0.9432191148029416,1467.0,-10.07,5,Red,G
0.048369722287906265,0.9373538349225334,1324.0,-10.7,5,Red,M
0.036362680959512374,0.07284820480272608,0.0912,17.16,0,Red,M
0.04182759254880324,0.10626266791425504,0.0976,19.94,0,Red,M
0.03360395155145688,0.08271504936843377,0.11,20.02,0,Red,M
0.03171225138593311,0.027229242692711486,0.0932,16.92,0,Red,M
0.0413021202806022,0.0900745122660827,0.109,17.12,0,Red,M
0.033787866845327245,0.0975184955496739,0.121,19.63,0,Red,M
0.026168518956412083,0.10337381871608531,0.0932,16.88,0,Red,M
0.024224271564068207,0.037468820705618744,0.0899,16.71,0,Red,M
0.024092903497017946,0.10464937383215989,0.0782,19.56,0,Red,M
0.02080870182076141,0.0735476820280408,0.0856,18.09,0,Red,M
0.030372297102020447,0.037468820705618744,0.492,10.87,1,Red,M
0.04382438716796722,0.04574470003299813,0.38,10.34,1,Red,M
0.030503665169070708,0.1994807019533177,0.31,11.17,1,Red,M
0.0275872940805549,0.2031141696927442,0.34,13.12,1,Red,M
0.04211660229631382,0.10484232151890205,0.62,14.23,1,Red,M
0.034260791886708185,0.14548505100965697,0.73,14.75,1,Red,M
0.03026720264838024,0.20001880432722802,0.24,11.43,1,Red,M
0.04358792464727674,0.11353471063278264,0.56,14.26,1,Red,M
0.036388954572922426,0.16241608340972402,0.34,12.23,1,Red,M
0.042090328682903765,0.12077093963777596,0.256,14.33,1,Red,M
0.3016473555608103,0.08655088890282708,0.00981,13.67,2,Blue White,B
0.5013268174772076,0.12696959366937038,0.0112,11.52,2,Blue,B
0.4295998528677649,0.12077093963777596,0.00934,12.78,2,Blue,B
0.3305483303118678,0.10080995307466073,0.00972,11.92,2,Blue White,B
0.2617114631775308,0.09205882946493071,0.00898,11.38,2,Blue white ,B
0.18352118966921524,0.05426553769868081,0.00879,14.87,2,Blue white,A
0.2883003599485037,0.09457064518362773,0.00945,12.83,2,Blue white,B
0.3361183363547989,0.013794359656123745,0.00892,12.89,2,white,F
0.15196657996374244,0.02424070027665326,0.00878,14.81,2,White,A
0.2901920601140275,0.10386887192220656,0.00996,11.23,2,Blue White,B
0.7257034759990542,0.9346735976090712,6.02,-4.01,3,Blue-white,B
0.18407293555082632,0.5661954130109407,2.487,0.12,3,Blue-White,A
0.31846246814324375,0.7116606349133381,5.745,-2.04,3,Blue-white,A
0.3796799873886656,0.7184737202972756,5.68,-3.32,3,Blue-white,B
0.6077349517879194,0.8236835477031658,5.92,-3.98,3,Blue-white,B
0.7031081684664092,0.8300352819441974,6.4,-4.09,3,Blue-white,B
0.6358477181366754,0.8237432536865017,5.49,-3.8,3,Blue-white,B
0.4776805654081606,0.7750675070288631,6.78,-3.4,3,Blue-white,B
0.2912167310370195,0.7077615754300308,6.21,-1.38,3,Blue-white,A
0.942198050497885,0.937977416720438,6.86,-4.56,3,Blue,O
0.6161425080791362,0.9420690467878066,57.0,-5.92,4,Blue,O
0.2529623499119834,0.947192594757172,36.0,-6.245,4,Blue,O
0.28207351357032134,0.9726727349268922,83.0,-5.62,4,Blue,O
0.10018128793252937,0.9461445593432365,97.0,-6.63,4,Blue,O
0.18360001050944538,0.9450705369499042,35.0,-7.34,4,Blue,O
0.14037991644990938,0.9190256776886994,24.0,-7.22,4,Blue,O
0.4725046635663803,0.9254661407849725,73.0,-5.69,4,Blue,O
0.6419694700612175,0.9369184876997483,39.0,-5.83,4,Blue,O
0.4057696855048475,0.9607067902971662,30.0,-6.09,4,Blue,O
0.19531804209032871,0.969955779913424,24.0,-5.99,4,Blue,O
0.04285226347179528,0.9577128336339851,1480.0,-7.58,5,Red,M
0.041013110533091625,0.9212805866724596,1420.0,-8.18,5,Red,M
0.061690444286802766,0.9870555044528815,1315.0,-9.2,5,Orange,K
0.632169412259268,0.9571679624993683,1679.0,-9.1,5,Blue,B
0.043640471874096844,0.9452514001940928,1190.0,-7.89,5,Red,M
0.04400830246183759,0.9234238986798247,1553.0,-7.71,5,Red,M
0.42198050497884976,0.9373538349225334,1045.0,-8.3,5,Blue,O
0.23806521110848375,0.9303140538009675,1779.0,-9.9,5,Blue-white,B
0.26696618585954124,0.9152265627720653,708.9,-7.84,5,Blue-white,B
0.592496256010089,0.9467572475343868,1134.5,-8.24,5,Blue-white,B
0.023436063161766642,0.045932625204336386,0.0915,16.21,0,Red,M
0.025616773074800987,0.08946104779321756,0.116,18.39,0,Red,M
0.038884947846877384,0.048481400553306575,0.126,17.56,0,Red,M
0.03360395155145688,0.07500957613696224,0.0987,17.34,0,Red,M
0.03977825070281916,0.08876907326882821,0.0773,17.08,0,Red,M
0.02495993273954967,0.06417819578960282,0.0973,16.93,0,Red,M
0.027035548198943805,0.07586360195247283,0.119,17.45,0,Red,M
0.04059273271853079,0.08358855930696502,0.0998,16.67,0,Red,M
0.022043561651033876,0.10231541776042546,0.112,19.45,0,Red,M
0.041617403641522825,0.10750233966163303,0.129,16.35,0,Red,M
0.04001471322350964,0.18164571912514246,0.148,11.47,1,Red,M
0.034628622474448915,0.1473285923808218,0.46,10.73,1,Red,M
0.027718662147605162,0.1949168337849848,0.28,13.45,1,Red,M
0.03344630987099657,0.12976518839868645,0.378,12.854,1,Red,M
0.041617403641522825,0.18245540034509264,0.319,12.43,1,Red,M
0.04358792464727674,0.15243056292306506,0.67,13.667,1,Red,M
0.0316071569322929,0.12143227590434197,0.258,14.12,1,Red,M
0.040908016079451416,0.11907202839781106,0.336,14.94,1,Red,M
0.036388954572922426,0.19048645319240723,0.471,12.78,1,Red,M
0.040040986836919694,0.15243056292306506,0.675,14.776,1,Red,M
0.39018943275268647,0.12398105125331216,0.0121,12.87,2,Blue,B
0.36102572186752846,0.11801974950901917,0.0114,11.92,2,Blue,B
0.34268673970731195,0.11657572632485469,0.0113,12.23,2,Blue,B
0.2995454664880061,0.11313912172765994,0.0116,12.9,2,Blue,B
0.4309135335382675,0.12208366688695832,0.0124,11.22,2,Blue,B
0.4724258427261502,0.12866850490933524,0.0142,11.34,2,Blue,B
0.5801476577073645,0.12949360955264655,0.0127,10.55,2,Blue,B
0.555765744462836,0.12143227590434197,0.0104,10.18,2,Blue,B
0.4198786159060456,0.11392671949872385,0.0106,11.66,2,Blue,B
0.45771261921652084,0.11907202839781106,0.00998,11.62,2,Blue,B
0.5362707233125772,0.8170808710378713,6.36,-3.67,3,Blue-white,B
0.21210688105935213,0.6821092085865381,5.856,0.013,3,Blue-white,A
0.292950789522083,0.6975277841627139,5.992,-0.12,3,Blue-white,A
0.5273902419799795,0.7905505084407756,6.64,-2.55,3,Blue-white,B
0.8473503060875963,0.9369622198428391,6.39,-4.57,3,Blue,O
0.8018969548882058,0.9312716460228883,6.237,-4.36,3,Blue,O
0.19392554057959593,0.5544873321952166,1.91,1.236,3,Blue-white,A
0.45876356375292293,0.8114009858899969,6.03,-3.08,3,Blue-white,B
0.39938519744620476,0.7024583971554832,5.653,-2.64,3,Blue-white,B
0.16581277423083998,0.5049905581338,1.93,-0.98,3,yellow-white,F
0.5711620819211266,0.9460188471183255,35.0,-6.27,4,Blue,O
0.2840177609626652,0.9593752852086739,76.0,-7.02,4,Blue,O
0.19558077822442924,0.9607118429839856,98.0,-6.98,4,Blue,O
0.5649089619295342,0.9801715606932893,81.0,-5.975,4,Blue,O
0.39011061191245633,0.9464493533261051,62.0,-6.35,4,Blue,O
0.44126533722182815,0.9424134306537515,46.0,-7.45,4,Blue,O
0.20895404745014587,0.9844994361189539,80.0,-7.262,4,Blue,O
0.23622605816978012,0.9965245277429702,25.0,-6.224,4,Blue,O
0.5558445653030661,0.9613238903955628,86.0,-5.905,4,Blue,O
0.5201912719056252,0.994543758857583,92.0,-7.346,4,Blue,O
0.5834318593836211,0.9654966562093161,1494.0,-8.84,5,Blue-white,B
0.9536007987178478,0.9508050308380482,1356.0,-9.29,5,Blue,O
0.8026588896770973,0.9883045079930315,1948.5,-10.84,5,Blue,O
0.677859225979349,1.0,1252.0,-7.59,5,Blue-white,B
0.5245526917316938,0.9945206162030356,1130.0,-7.67,5,Blue-white,B
0.9721499697853445,0.9645634362660991,1356.0,-9.93,5,Blue,O
0.7593074275505111,0.9992086040597143,1194.0,-10.63,5,Blue,O
0.18102519639526027,0.9801766381753012,1423.0,-10.73,5,White,A
0.19169228343974148,0.9679103569565437,1112.0,-11.23,5,White,A
0.9443524867975093,0.9541749648154902,1783.0,-7.8,5,Blue,O
